R = 50, P = 0.00, Rope = 0.00

R = 100, P = 0.20, Rope = 68.48

R = 1000, P = 0.25, Rope = 774.75

R = 1000, P = 0.50, Rope = 1158.73

R = 999, P = 0.49, Rope = 1143.33

R = 958, P = 0.24, Rope = 725.53

R = 434, P = 0.12, Rope = 225.50

R = 4546, P = 0.24, Rope = 3406.47

R = 6534, P = 0.24, Rope = 4896.72

R = 54654, P = 0.24, Rope = 40968.52

R = 934959, P = 0.26, Rope = 734914.29

R = 459876, P = 0.44, Rope = 491685.76

R = 213, P = 0.11, Rope = 106.17

R = 456, P = 0.23, Rope = 337.29

R = 34, P = 0.10, Rope = 16.03

R = 100, P = 0.00, Rope = 0.00

R = 100, P = 0.01, Rope = 14.36

R = 100, P = 0.02, Rope = 20.45

R = 100, P = 0.03, Rope = 25.18

R = 100, P = 0.04, Rope = 29.21

R = 100, P = 0.05, Rope = 32.79

R = 100, P = 0.06, Rope = 36.05

R = 100, P = 0.07, Rope = 39.08

R = 100, P = 0.08, Rope = 41.92

R = 100, P = 0.09, Rope = 44.60

R = 100, P = 0.10, Rope = 47.16

R = 100, P = 0.11, Rope = 49.60

R = 100, P = 0.12, Rope = 51.96

R = 100, P = 0.13, Rope = 54.23

R = 100, P = 0.14, Rope = 56.43

R = 100, P = 0.15, Rope = 58.57

R = 100, P = 0.16, Rope = 60.64

R = 100, P = 0.17, Rope = 62.67

R = 100, P = 0.18, Rope = 64.65

R = 100, P = 0.19, Rope = 66.59

R = 100, P = 0.20, Rope = 68.48

R = 100, P = 0.21, Rope = 70.34

R = 100, P = 0.22, Rope = 72.17

R = 100, P = 0.23, Rope = 73.97

R = 100, P = 0.24, Rope = 75.73

R = 100, P = 0.25, Rope = 77.48

R = 100, P = 0.26, Rope = 79.19

R = 100, P = 0.27, Rope = 80.88

R = 100, P = 0.28, Rope = 82.56

R = 100, P = 0.29, Rope = 84.21

R = 100, P = 0.30, Rope = 85.84

R = 100, P = 0.31, Rope = 87.46

R = 100, P = 0.32, Rope = 89.05

R = 100, P = 0.33, Rope = 90.64

R = 100, P = 0.34, Rope = 92.20

R = 100, P = 0.35, Rope = 93.76

R = 100, P = 0.36, Rope = 95.30

R = 100, P = 0.37, Rope = 96.83

R = 100, P = 0.38, Rope = 98.34

R = 100, P = 0.39, Rope = 99.85

R = 100, P = 0.40, Rope = 101.35

R = 100, P = 0.41, Rope = 102.83

R = 100, P = 0.42, Rope = 104.31

R = 100, P = 0.43, Rope = 105.78

R = 100, P = 0.44, Rope = 107.24

R = 100, P = 0.45, Rope = 108.69

R = 100, P = 0.46, Rope = 110.14

R = 100, P = 0.47, Rope = 111.58

R = 100, P = 0.48, Rope = 113.02

R = 100, P = 0.49, Rope = 114.45

R = 100, P = 0.50, Rope = 115.87
