14 13
Peoria Marawi 96
Peoria Bila 59
Bila Palma 73
Peoria Puerto 31
Palma Pagadian 88
Palma Pittsburgh 19
Pagadian Mesquite 69
Mesquite Bou 10
Bila McAllen 65
Bou Mar 93
Mesquite Mariveles 93
Mar Buenos 29
Puerto Matamoros 84
Bila Pittsburgh
3 2
Marawi Puerto 69
Marawi Punta 33
Marawi Puerto
10 31
Porto Malaybalay 35
Malaybalay Bordj 24
Bordj Moreno 18
Porto Manchester 75
Manchester Punto 22
Punto Bago 76
Malaybalay Polomolok 23
Bordj Pakan 91
Pakan Pematang 73
Porto Malaybalay 93
Porto Bordj 65
Bordj Moreno 21
Bordj Manchester 33
Porto Punto 5
Porto Bago 62
Punto Polomolok 82
Manchester Pakan 70
Polomolok Pematang 33
Porto Malaybalay 34
Porto Bordj 24
Porto Moreno 24
Malaybalay Manchester 50
Porto Punto 54
Moreno Bago 96
Porto Polomolok 98
Malaybalay Pakan 53
Polomolok Pematang 13
Porto Malaybalay 85
Porto Bordj 95
Bordj Moreno 32
Porto Manchester 87
Polomolok Moreno
22 21
Belford Manchester 22
Manchester Pomona 35
Belford Phoenix 92
Manchester Bab 90
Pomona Pasadena 15
Pomona Mazari 32
Manchester Polomolok 100
Pasadena Panama 70
Mazari Providence 72
Pomona Mandaluyong 56
Belford Matamoros 72
Pasadena Panabo 46
Mazari Ponta 22
Pasadena Praia 65
Manchester Pakan 47
Phoenix Bani 45
Ponta Montes 87
Pasadena Malaybalay 86
Mandaluyong Palmdale 79
Panabo Petaling 31
Bani Pembroke 99
Matamoros Mandaluyong
19 48
Bordj Puerto 98
Bordj Memphis 67
Memphis Mazari 79
Bordj Portland 20
Mazari Banja 22
Banja Pittsburgh 76
Memphis Batangas 35
Bordj Mawlamyaing 12
Mazari Murfreesboro 92
Bordj Miami 45
Puerto Pematang 20
Mawlamyaing Manchester 96
Murfreesboro Palma 7
Portland Palmdale 95
Banja Mobile 88
Palma Bat 55
Murfreesboro Mogilev 16
Murfreesboro Praia 100
Bordj Puerto 75
Puerto Memphis 35
Puerto Mazari 4
Memphis Portland 48
Mazari Banja 98
Bordj Pittsburgh 47
Pittsburgh Batangas 67
Puerto Mawlamyaing 2
Batangas Murfreesboro 87
Mazari Miami 34
Pittsburgh Pematang 4
Memphis Manchester 6
Pematang Palma 77
Memphis Palmdale 80
Palma Mobile 85
Miami Bat 38
Batangas Mogilev 50
Manchester Praia 58
Bordj Puerto 86
Bordj Memphis 91
Puerto Mazari 16
Puerto Portland 23
Bordj Banja 79
Mazari Pittsburgh 71
Portland Batangas 76
Memphis Mawlamyaing 11
Mazari Murfreesboro 35
Puerto Miami 22
Banja Pematang 80
Batangas Manchester 4
Batangas Pematang
7 21
Praha Punto 87
Praha Presidente 13
Punto Porac 25
Presidente Malasiqui 46
Malasiqui Mawlamyaing 81
Mawlamyaing Barra 96
Praha Punto 76
Punto Presidente 34
Presidente Porac 39
Praha Malasiqui 80
Porac Mawlamyaing 47
Malasiqui Barra 23
Praha Punto 96
Punto Presidente 39
Praha Porac 17
Porac Malasiqui 91
Presidente Mawlamyaing 47
Praha Barra 64
Praha Punto 99
Punto Presidente 65
Presidente Porac 28
Punto Porac
20 40
Plano Pasadena 59
Pasadena Banja 77
Plano Pouso 77
Plano Belford 88
Belford Milton 40
Milton Pittsburgh 12
Plano Miami 64
Pasadena Barra 15
Pittsburgh Bago 87
Bago Puli 4
Milton Manchester 62
Pouso Pakan 55
Puli Pematang 76
Pematang Malaybalay 65
Plano Praha 39
Belford Montes 82
Malaybalay Portland 41
Plano Puebla 22
Bago Porto 78
Plano Pasadena 81
Pasadena Banja 26
Pasadena Pouso 65
Banja Belford 80
Plano Milton 47
Pouso Pittsburgh 91
Pouso Miami 7
Milton Barra 71
Milton Bago 32
Milton Puli 37
Pittsburgh Manchester 68
Plano Pakan 28
Pakan Pematang 24
Plano Malaybalay 10
Malaybalay Praha 88
Pakan Montes 6
Belford Portland 9
