  t   A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z
-----------------------------------------------------------------------------------------------------------
  0   0 146  21   0  21 129 125 126   0   0   0   4 129 125   0   0   0 129   1   0  22   0  21   0   0   0
  1   0 138  19  10  12 134 121 127   7   0   0   0 125 132   1   0   0 119  10   1  21   1  14   7   0   0
  2   0 130  17  19   4 139 117 128  10   4   0   0 117 139   1   1   0 109  15   5  21   1   8  11   3   0
  3   0 122  15  28   1 139 113 129  13   4   4   0 109 146   1   1   1  99  20   9  21   1   2  15   3   3
  4   0 114  13  37   1 136 109 130  16   4   6   2 101 153   1   1   1  90  25  13  21   1   1  14   3   6
  5   0 106  11  46   1 133 105 131  19   4   8   2  95 160   1   1   1  81  30  17  21   1   1  12   3   9
  6   0  98   9  55   1 130 101 132  22   4  10   2  89 167   1   1   1  72  35  21  21   1   1  10   3  12
  7   0  90   8  63   1 127  97 133  25   4  12   2  83 174   1   1   1  63  40  25  21   1   1   8   3  15
  8   0  82   8  70   1 124  93 134  28   4  14   2  77 181   1   1   1  54  45  29  21   1   1   6   3  18
  9   0  74   8  77   1 121  89 135  31   4  16   2  71 188   1   1   1  45  50  33  21   1   1   4   3  21
 10   0  66   8  84   1 118  85 136  34   4  18   2  65 195   1   1   1  36  55  37  21   1   1   2   3  24
 11   0  58   8  91   1 115  81 137  37   4  20   2  59 202   1   1   1  27  60  41  21   1   1   1   2  27
 12   0  50   8  98   1 112  77 138  40   4  22   2  53 209   1   1   1  18  65  45  21   1   1   1   1  29
 13   0  42   8 105   1 109  73 139  43   4  24   2  47 216   1   1   1   9  70  49  21   1   1   1   1  30
 14   0  34   8 112   1 106  69 140  46   4  26   2  41 223   1   1   1   1  74  53  21   1   1   1   1  31
 15   0  26   8 119   1 103  65 141  49   4  28   2  35 230   1   1   1   1  70  57  21   1   1   1   1  32
 16   0  18   8 126   1 100  61 142  52   4  30   2  29 237   1   1   1   1  66  61  21   1   1   1   1  33
 17   0  10   8 133   1  97  57 143  55   4  32   2  23 244   1   1   1   1  62  65  21   1   1   1   1  34
 18   0   2   8 140   1  94  53 144  58   4  34   2  17 251   1   1   1   1  58  69  21   1   1   1   1  35
 19   0   0   2 147   1  91  49 145  61   4  36   2  11 258   1   1   1   1  54  73  21   1   1   1   1  36
 20   0   0   0 148   1  88  45 146  64   4  38   2   5 265   1   1   1   1  50  77  21   1   1   1   1  37
 21   0   0   0 147   1  85  41 147  67   4  40   2   2 269   1   1   1   1  46  81  21   1   1   1   1  38
