1000000 1000000 1
999999 999999 999999 999999
1000000 1000000 1000
858693 318 930199 318
369989 803 861234 803
556114 1647 910116 1647
102875 1934 908487 1934
205958 1961 836289 1961
522643 2807 981117 2807
936261 3282 989220 3282
560359 3306 789326 3306
349258 3419 689076 3419
96901 3437 838265 3437
833735 4210 868939 4210
398476 5041 779505 5041
217406 5309 847671 5309
469580 5821 684960 5821
831009 6143 953902 6143
182899 6364 581241 6364
682477 6511 769946 6511
438253 6929 662095 6929
937439 7786 976905 7786
568341 8713 817302 8713
772235 9036 818341 9036
231870 9610 720088 9610
802400 10608 963294 10608
818091 10725 963719 10725
347815 10916 372397 10916
194549 10974 975068 10974
986231 11528 987881 11528
372964 11774 912388 11774
956026 12507 977830 12507
927741 12927 933854 12927
372910 12986 921038 12986
115468 13683 753006 13683
600701 14028 678630 14028
564094 14782 715361 14782
471869 15305 581951 15305
794158 16243 935193 16243
722587 16401 829872 16401
967743 16897 975945 16897
619054 17711 994230 17711
22533 17831 305875 17831
593870 18283 888612 18283
328089 18956 975897 18956
694394 19874 847579 19874
112154 20555 370435 20555
718339 21082 875865 21082
344040 21641 785224 21641
694970 22234 808748 22234
685056 22583 913161 22583
471208 22657 752786 22657
149619 23650 300914 23650
572290 24138 578862 24138
121210 24433 208184 24433
992018 25432 999800 25432
444629 26087 499294 26087
204887 26196 578259 26196
65112 26719 354998 26719
194938 27522 253259 27522
578710 27794 592871 27794
376465 28612 681537 28612
518462 28836 736143 28836
57007 29742 107228 29742
58391 30378 527177 30378
11235 31268 860715 31268
881470 31409 960407 31409
582355 32202 674392 32202
63756 32467 619403 32467
678737 33236 847226 33236
832026 33868 859419 33868
504056 33923 953486 33923
256301 34211 462859 34211
881973 35123 944108 35123
804278 35700 960209 35700
708912 36410 909909 36410
243752 36699 656408 36699
948407 37353 983272 37353
679773 37931 932554 37931
924776 38078 967775 38078
843952 38841 887649 38841
395489 39745 690432 39745
757874 40302 990890 40302
821764 41192 971690 41192
