8 160
1 2 3288
2 3 125
3 4 5714
4 5 9631
5 6 3836
6 7 8736
7 8 1356
1 8 1229
2 7 1155
4 8 285
8 2 8546
2 5 6981
1 1 3772
2 5 712
5 2 2641
7 4 2280
3 5 1911
6 4 9618
3 6 4952
5 1 6967
2 8 3920
3 1 5317
7 2 7269
2 3 2345
1 7 4539
2 5 3510
1 7 4546
7 5 670
1 7 811
8 3 8027
7 4 4563
6 6 3803
2 4 9268
7 5 6158
7 6 5436
1 7 7392
6 7 8503
8 6 9899
5 6 5513
7 5 2851
1 3 5847
3 1 3044
6 2 4128
1 8 6516
7 7 9977
2 7 4447
2 5 4910
8 4 9627
2 8 4568
2 6 4684
4 6 3295
2 1 4319
6 6 3072
5 6 6824
8 4 622
1 6 2652
7 7 2776
4 6 1891
6 7 666
5 8 6263
1 3 3061
7 5 9269
5 2 1394
4 6 8703
3 5 3707
8 5 5488
4 4 494
3 7 875
6 5 2881
7 1 2024
6 1 3858
2 7 7878
6 3 9831
7 7 7492
5 1 6433
7 1 3925
6 4 768
3 6 4575
5 3 4971
5 2 2875
4 7 2972
6 8 4906
3 5 9349
2 3 9371
5 7 8147
5 6 6299
2 3 6478
1 6 7812
7 2 2190
1 7 6631
4 2 3749
7 7 6604
8 2 816
4 3 7778
6 7 2545
1 4 2470
3 5 2096
1 5 5565
4 4 6455
1 4 1293
8 7 8454
4 5 1797
8 5 1902
7 8 8600
1 6 3030
1 6 681
6 8 2773
5 8 9130
2 3 4325
8 4 3328
4 3 9015
1 6 707
5 5 9663
2 4 8879
1 4 6780
7 4 5161
7 1 320
4 5 5088
5 6 922
1 5 6365
8 8 4399
6 1 5125
1 5 5145
7 7 5276
5 7 2351
8 5 6210
8 4 5674
8 7 9191
7 3 2324
8 3 7881
5 2 800
3 8 9536
7 8 2237
8 6 3507
3 3 1945
2 2 4230
3 2 7393
5 1 6911
3 7 1913
6 6 6723
6 2 1020
6 5 171
5 3 7586
1 2 224
3 5 6018
4 6 5395
1 8 6220
1 4 2460
7 6 5554
7 4 6424
1 1 1433
4 6 7685
7 3 304
8 3 8081
7 6 8997
8 1 5402
3 1 3506
6 1 1685
2 7 2779
3 5 5462
10 200
1 2 318
2 3 3379
3 4 6504
4 5 1796
5 6 7415
6 7 462
7 8 9430
8 9 7718
9 10 8358
1 10 1808
1 8 5141
7 6 8669
1 10 5677
6 5 853
2 10 3811
10 1 6463
1 6 5531
1 4 8387
6 1 5200
5 8 3557
