Road #1:
-445.13 347.11
101.35 803.52
536.42 100.06
706.77 -422.93
516.11 -179.53
-548.16 585.08

Road #2:
647.71 561.28
758.38 62.24
-444.78 446.37
492.86 439.42
-140.75 -118.44
620.40 -382.40
-891.73 -972.22
180.40 -269.40
-656.44 582.49
794.52 -334.09
-879.41 140.17
-15.38 -221.57
-377.00 -325.21
-450.54 -191.40
258.22 10.74
594.36 -320.61
-401.96 -650.08
-309.02 29.67
275.56 -735.91
192.38 -199.42
840.03 622.00
294.26 183.35
-499.98 259.96
448.80 -60.90
535.00 -857.94
-286.58 -131.29
963.62 269.47

Road #3:
-352.29 822.33
-335.63 780.64
-318.96 738.95
-302.30 697.26
-285.64 655.57
-268.97 613.88
-252.31 572.19
-235.65 530.50
-218.98 488.81
-202.32 447.12
-185.66 405.43
-168.99 363.74
-152.33 322.05
-135.67 280.36
-119.00 238.67
-102.34 196.98
-85.68 155.29
-69.01 113.60
-52.35 71.91
-35.69 30.22
-19.02 -11.47
-2.36 -53.16
14.30 -94.85
30.97 -136.54
47.63 -178.23
64.29 -219.92
80.96 -261.61
97.62 -303.30
114.28 -344.99
130.94 -386.68
147.61 -428.37
164.27 -470.06
180.93 -511.75
197.60 -553.44
214.26 -595.13
230.92 -636.82
247.59 -678.51
264.25 -720.20
280.91 -761.89
297.58 -803.58
329.57 -801.36
368.55 -779.09
407.54 -756.82
446.52 -734.56
485.51 -712.29
524.49 -690.02
563.48 -667.75
536.59 -676.99
494.79 -693.35
452.98 -709.72
411.17 -726.09
369.37 -742.46
327.56 -758.83
285.75 -775.19
243.95 -791.56
201.60 -801.67
157.61 -792.68
113.62 -783.70
69.64 -774.71
25.65 -765.72
-18.34 -756.74
-62.33 -747.75
-106.32 -738.76
-150.30 -729.77
-194.29 -720.79
-238.28 -711.80
-282.27 -702.81
-326.26 -693.83
-370.25 -684.84
-414.23 -675.85
-458.22 -666.87
-502.21 -657.88
-546.20 -648.89
-590.19 -639.90
-634.17 -630.92
-678.16 -621.93
-722.15 -612.94
-766.14 -603.96
-810.13 -594.97
-854.12 -585.98
-898.10 -576.99
-942.09 -568.01
-986.08 -559.02

Road #4:
-377.14 564.27
-549.03 1.87
-720.92 -560.53
-811.05 -739.75
-738.43 -156.17
-674.98 426.33
-726.82 488.33
-855.67 691.38
-523.44 206.14
-191.22 -279.11
122.04 -701.97
127.95 -113.92
-129.78 392.23
-55.12 154.95
190.25 -379.49
342.88 -569.80
124.18 -987.68
-463.68 -971.51
-821.89 -729.64
-827.91 -141.59
-557.68 195.06
28.33 244.35
351.86 162.53
188.74 40.24
481.48 550.28
699.23 939.62
371.65 451.22
372.88 48.44
459.95 -253.78
189.42 172.96
-291.18 502.17
-787.28 817.96
-802.50 566.63
-572.06 25.58
-611.61 154.95
-73.37 353.66
490.47 520.77
332.10 185.03
-20.28 -285.79
-372.66 -756.60
-196.62 -467.52
122.07 26.71
481.95 368.42
477.20 264.19
-106.26 337.77
-594.44 632.09
-692.20 380.35
-522.80 26.86
-90.09 425.10
342.63 823.34
368.55 547.40
217.95 -21.07
94.00 -402.31
107.97 185.60
-101.75 366.34
-590.46 39.24
-853.88 -463.26
-752.32 -682.25
-224.39 -423.17
-477.27 29.72
-822.79 505.59
-719.59 595.04
-197.74 323.93
324.12 52.82
-71.59 281.36
-582.47 572.63
-477.41 488.02
12.92 163.42
-249.68 -236.23
-667.92 -649.65
-610.67 -859.89
-22.82 -843.42
529.57 -802.30
340.10 -245.58
150.63 311.14
-38.84 867.87
-543.42 697.96
-621.65 344.05
-483.65 -227.60
-345.64 -799.26

Road #5:
378.60 -414.49
-284.20 334.53
-360.99 -260.26
878.53 -511.89
-87.60 -763.14
-39.60 -120.56
-408.67 142.42
536.85 -443.24
221.43 -683.00
-778.41 -258.06
-56.50 267.65
696.90 -639.68
-561.70 -514.56
122.64 -502.92
-529.63 -593.15
-464.42 74.40
8.43 565.07
353.70 -402.52
42.03 -868.44
-697.32 -137.94
-891.53 389.78
-477.38 78.04
-30.95 96.91
131.47 -993.89
-470.62 -641.20
320.73 345.45
530.81 498.09
-120.95 -585.85
419.74 -674.93
952.62 -710.61
-43.79 68.42
-692.55 225.45
-494.28 -932.28
661.29 -418.10
395.40 288.72
-421.27 -158.56
-259.03 380.39
587.39 -124.77
331.73 318.11
214.54 502.25
593.71 -704.38
-399.35 -261.86
-851.32 137.67
156.56 10.50
875.65 691.63
-87.33 257.34
-544.26 -302.37
141.18 -587.43
257.32 641.22
-65.76 152.37
-392.53 -705.15
-35.96 445.66
-419.43 212.40
-504.14 -546.41
-142.86 348.19
138.89 105.29
720.73 530.39
-381.17 -84.55
-91.04 113.50
126.24 -290.77
-245.31 -308.83
-141.11 255.16
323.66 812.19
468.53 -284.75
-401.40 267.03
-680.06 247.20
-346.11 479.14
-550.17 381.47

