21 67
755
F56 +
N55 -
N1 +
I35 +
K56 -
L11 -
G31 +
M66 +
P46 +
N17 -
N18 -
C1 -
I11 +
B36 +
I16 -
R33 -
L34 -
I13 -
H38 -
G1 +
L20 +
S15 -
E67 +
C30 -
G25 -
L15 +
R49 -
R35 +
F62 -
A30 +
A47 +
K39 +
T52 +
I65 +
E46 +
C25 -
H21 +
G56 -
F47 +
L41 -
A33 +
Q42 -
C43 -
T66 -
L57 +
S1 -
S8 +
P8 +
A32 +
J13 -
M41 +
Q30 +
L45 -
P20 +
T51 -
R15 -
G65 -
S29 +
P62 -
S63 +
P67 +
O33 +
I17 -
A22 +
N2 -
U42 -
U5 -
R23 -
D25 +
U30 -
F10 +
Q53 +
F65 +
S41 +
Q65 +
T14 +
R17 +
N45 +
R43 -
O56 -
Q15 -
Q37 -
I21 -
Q4 +
B56 +
D67 +
A7 +
R52 +
B58 -
R30 +
R66 -
S23 -
L13 +
J62 -
D50 -
U56 +
D58 +
N3 -
Q44 -
M54 -
P64 -
C42 +
H61 -
L25 +
J28 +
T8 -
H41 -
J5 +
A17 -
I12 +
Q17 -
U65 -
O20 -
J54 -
J55 +
P52 -
O28 -
O8 +
P33 +
B18 +
K6 -
D27 -
H23 +
T46 +
M45 +
T61 +
T41 -
C7 -
P10 +
O64 -
C35 -
E37 -
P60 +
Q32 +
L48 -
K45 +
P3 +
D56 +
E40 -
H17 +
E29 -
B8 -
H59 +
A12 -
M5 -
O30 -
B3 -
M27 -
N44 +
F3 -
H40 +
D48 +
C18 -
C39 -
F36 -
O24 -
Q12 -
D17 -
K59 +
I53 +
C24 +
O15 -
Q11 +
E15 -
J16 -
C57 -
T3 -
S3 +
P18 +
N60 +
U10 -
J67 +
J63 +
H13 +
H33 -
I6 -
K16 -
M44 +
R27 -
M56 -
D20 -
N53 -
R8 -
T64 -
M8 +
H57 -
B25 +
J43 -
B23 +
P11 +
M23 +
C17 -
B5 +
S60 -
Q5 -
M49 +
C27 -
H20 -
P41 +
P39 +
D26 +
R29 +
N23 -
B67 -
Q66 -
C29 -
E49 -
E52 +
M29 +
U7 +
Q20 +
L46 +
G27 +
O61 -
F13 +
P13 -
A16 -
J41 -
D66 -
F32 -
G47 +
R12 -
E26 -
O18 -
K21 -
E62 +
H35 -
Q67 -
H32 +
U13 -
B17 +
K34 +
F29 -
G66 -
K1 -
J65 -
H63 +
M37 -
H53 +
K29 -
F28 -
R5 +
I66 -
A25 -
H51 -
E43 +
B39 -
E39 +
R7 +
C55 +
K54 -
H49 +
L32 -
L52 +
C32 +
M43 +
A42 -
R59 +
Q19 -
K53 -
M61 -
F9 -
K50 +
C5 -
M31 -
A1 -
I20 +
N40 -
D65 -
D15 +
U64 -
R28 -
U66 +
J8 +
G22 +
S59 -
P23 +
B59 +
B30 -
L38 -
D9 +
Q26 -
S67 +
U12 -
P4 -
T44 +
U1 -
S44 -
P24 -
E18 +
S36 -
L8 -
C44 +
E51 -
F60 -
T43 +
N56 +
H22 -
L3 +
S53 +
B29 -
G5 +
C58 -
Q25 -
E21 -
U16 +
J37 -
U17 -
F39 -
U52 -
I28 +
