500
86 4
645 -322 416
416 26 376
-344 423 837
557 -723 302
55 -618 721
-857 -218 486
911 -473 782
-769 282 147
628 727 784
-374 -117 35
-156 187 855
595 173 28
-201 -841 393
980 -935 606
96 885 826
-26 849 122
717 367 276
382 -589 304
-97 959 360
669 358 386
518 -701 79
-109 -733 521
123 243 300
316 -117 973
686 854 940
237 -370 724
-207 -548 865
-758 212 678
323 -827 442
-275 127 223
516 416 268
-931 -499 546
-791 279 733
243 -985 326
-10 133 911
-827 740 776
-815 904 535
915 841 424
766 -204 443
494 573 633
751 -616 357
680 -37 513
283 -553 461
-881 360 404
450 -197 677
161 960 753
623 147 508
449 758 815
167 327 770
268 -853 400
127 -598 967
149 -958 802
238 -4 592
27 277 432
-369 -664 333
-930 258 350
-763 -868 168
-247 -297 925
948 -640 416
-689 997 896
-981 81 913
577 731 912
-246 -214 996
170 -305 967
148 -340 961
-508 -860 968
-4 243 520
413 87 474
819 -696 657
-371 -746 65
122 537 857
226 651 925
542 883 290
-869 -313 281
-419 -678 362
-390 978 10
994 -307 523
386 -852 721
654 -624 581
-658 -56 645
31 184 165
-810 9 525
-963 -749 782
-964 575 217
982 -989 456
-963 -248 219
-25 -589
-33 -638
-743 921
438 -469

79 1
610 166 245
-967 260 868
507 -280 168
264 45 744
562 502 490
545 326 599
564 -999 963
-279 -158 217
894 911 136
126 14 795
627 805 680
52 399 101
889 513 250
-14 519 227
-866 -639 187
-11 -274 803
-981 -757 226
240 -846 645
648 -52 926
-519 -187 422
170 -282 681
264 -867 185
83 204 659
-818 416 583
-919 633 738
950 -230 410
-804 -499 459
610 677 685
-554 -80 310
896 962 234
-436 269 968
-17 -584 947
906 384 216
-781 -847 201
-237 159 575
-953 -282 271
352 978 18
481 -331 836
-697 98 725
-568 -155 965
-800 -94 593
-544 200 682
563 -619 276
406 -543 749
269 -259 21
586 -698 336
804 -686 391
-487 -694 560
-30 -532 63
69 511 125
581 -580 313
810 17 133
644 -183 644
-889 -299 680
-430 574 772
-874 954 192
-680 -828 777
-64 936 940
434 969 724
903 -764 716
332 744 239
-949 -906 697
135 -910 202
-462 108 236
443 920 724
570 -55 122
839 558 798
122 -904 858
-350 569 68
853 -816 780
-106 -765 477
-840 920 225
-489 -332 895
-745 -281 883
-141 388 445
796 -801 525
-960 -190 332
702 -934 960
167 -240 568
-5 89

61 5
-517 122 455
-804 81 250
464 790 433
717 -314 145
851 -202 138
206 337 825
84 164 601
-231 -29 767
-885 227 469
658 -898 13
-910 -301 15
-603 896 42
761 -856 6
-521 16 298
-366 70 396
-136 -737 245
716 703 864
39 -658 145
-96 301 263
176 45 69
-249 -761 17
259 -243 744
-410 739 968
886 -832 470
-289 -239 43
-425 -303 190
-498 478 261
-889 406 703
-276 623 400
-383 454 858
-759 534 386
-971 -860 101
258 -97 986
533 706 965
215 720 65
-764 800 206
594 494 872
-859 594 505
732 -788 793
-646 -573 41
938 624 954
660 295 481
-861 322 724
-986 -409 714
-596 -60 983
-96 580 967
-102 -45 158
-519 -879 662
-234 557 829
-698 -163 666
-302 -334 452
-678 -221 214
438 -204 795
905 -937 850
345 -421 902
-756 -311 981
-111 -350 566
916 -801 269
990 212 366
-669 -618 530
-200 610 289
-377 177
870 456
-520 -293
-291 130
-443 110

82 5
183 799 218
-549 763 507
-140 -198 968
130 355 221
-203 -606 879
-767 350 564
791 -468 189
-52 487 900
920 233 576
-855 187 552
129 -779 290
879 544 584
317 -107 775
-345 -412 585
762 -110 414
-669 137 579
-844 966 358
111 -626 479
-686 -920 422
-139 -812 534
-226 173 651
-281 307 628
-59 88 508
-28 -350 137
-310 629 982
-223 540 856
-576 986 275
193 521 243
-808 -553 636
-390 37 779
570 316 326
683 217 118
332 579 802
153 -974 116
327 -672 23
-578 -944 87
-325 957 840
-881 871 657
-642 -968 655
975 724 951
75 -269 720
960 -676 123
803 279 798
190 -297 125
507 80 788
-588 -249 669
311 813 278
-1 -819 357
812 -652 371
885 476 747
675 70 119
-579 -399 972
383 908 691
-980 679 780
-291 -584 730
453 606 763
806 -496 981
-270 914 629
-726 -881 607
388 451 535
-498 326 883
-471 985 180
-534 271 644
-491 -490 214
-831 -566 440
-419 385 194
-230 -2 852
-206 785 508
834 -449 361
930 -751 639
682 -76 336
-882 563 634
185 286 193
-173 225 722
375 -217 231
275 789 749
-666 321 861
-819 -473 358
364 -321 821
-826 -602 131
473 -12 899
-994 -616 325
571 651
794 -308
-967 -571
-744 496
579 -363

46 6
-768 230 836
384 -670 742
-254 -949 457
-18 -351 629
-675 722 317
524 -7 748
-232 -215 855
-190 63 770
88 679 815
-792 -50 317
-638 513 560
-366 -522 929
-232 608 395
203 67 380
-393 -156 142
551 -791 476
920 75 232
-908 -993 557
510 -88 340
-929 69 870
235 -573 894
189 -665 539
-199 100 680
-994 -544 232
-218 996 837
180 -992 759
41 289 723
-282 -753 214
-188 -702 858
510 -649 545
-668 -780 379
204 755 759
235 830 595
-751 -662 161
59 563 109
417 245 535
-348 622 941
-443 -199 6
432 -405 767
738 405 856
704 -128 943
96 -147 350
-884 -461 864
629 -821 603
-561 -509 520
180 -31 33
309 744
-715 -600
-356 454
-157 -598
648 -642
405 -531

28 5
-753 208 287
239 265 312
-710 21 244
3 625 534
-293 -941 872
-824 -400 469
113 -268 162
973 311 453
-898 -630 728
-211 -677 628
-864 -451 735
918 -816 359
-824 -337 534
-414 -599 958
805 228 824
-660 -419 901
-709 247 870
-333 860 116
126 -852 102
-913 -766 317
493 -12 41
480 431 818
572 -455 733
752 585 696
177 242 46
987 697 853
-21 -6 2
-838 553 424
939 899
788 -839
-521 -579
171 121
-527 -216

48 7
-72 -991 752
795 910 386
241 409 531
699 -247 255
451 88 4
975 278 246
-706 324 45
445 -209 335
909 294 809
319 -709 107
249 136 410
-257 -745 731
733 -327 789
716 -602 90
-240 -155 773
516 68 683
-690 -485 685
303 -671 968
193 -212 630
-352 331 661
-658 -172 384
-315 -304 336
463 -194 739
329 -890 816
523 628 821
894 259 833
823 -56 480
-639 -849 357
-623 -861 22
298 -112 225
-359 -241 713
484 -704 711
423 47 467
215 326 641
-436 309 24
876 270 485
320 378 883
146 -731 51
754 623 188
-521 -579 332
405 470 159
65 -686 486
-846 696 255
730 -442 485
-216 -858 302
658 -930 932
